#;PSRJ;RAJ;DECJ;P0;P1;BINARY;PSR;NGLT;
;;(hms);(dms);(s);;(type);TYPE;;
261;J0543+2329;05:43:09.6;+23:29:05;0.245975;1.54e-14;*;*;*;
262;J0543-6851;05:43:52.7;-68:51:25.3;0.708954;3.94e-15;*;*;*;
263;J0544+20;05:44:12;+20:50;*;*;*;RRAT[dsm+16];*;
264;J0545-03;05:45;-03:10;1.073930;*;*;RRAT;*;
265;J0546+2441;05:46:28.7;+24:41:21;2.843850;7.65e-15;*;*;*;
266;J0550+09;05:50:28;+09:51;1.745000;*;*;RRAT[dsm+16];*;
267;J0554+3107;05:54:05.0;+31:07:41;0.464961;1.43e-13;*;NRAD;*;
268;J0555+3948;05:55;+39:48;1.146906;*;*;*;*;
269;J0555-7056;05:55:01.8;-70:56:45.6;0.827838;5.96e-15;*;*;*;
270;J0556-67;05:56:25;-67:29;0.790549;*;*;*;*;
271;J0557+1550;05:57:31.4;+15:50:06.0;0.002556;7.35e-21;ELL1;*;*;
272;J0557-2948;05:57:32.9;-29:48:16.8;0.043643;7.30e-20;*;*;*;
273;J0600-5756;06:00:46.5;-57:56:54;2.261365;2.78e-15;*;*;*;
274;J0601-0527;06:01:58.9;-05:27:50.8;0.395969;1.30e-15;*;*;2;
275;J0605+3757;06:05:05.5;+37:57:35.9;0.002728;4.80e-21;DD;HE;*;
276;J0608+00;06:08:49;+00:39;1.076200;*;*;*;*;
277;J0608+1635;06:08:51.6;+16:35:09.4;0.945845;1.35e-14;*;*;*;
278;J0609+2130;06:09:58.8;+21:30:02.8;0.055698;2.35e-19;*;*;*;
279;J0610-2100;06:10:13.5;-21:00:27.8;0.003861;1.23e-20;ELL1;HE[egc+13];*;
280;J0611+04;06:11:18;+04:06;1.674430;*;*;*;*;
281;J0611+1436;06:11:18.6;+14:36:52;0.270329;4.00e-15;*;*;1;
282;J0611+30;06:11:16;+30:16;1.412090;*;*;*;*;
283;J0612+3721;06:12:48.6;+37:21:37.3;0.297982;5.95e-17;*;*;*;
284;J0612+37216;06:12:44.1;+37:21:40;0.443871;1.50e-16;*;*;*;
285;J0613-0200;06:13:43.9;-02:00:47.2;0.003062;9.59e-21;T2;HE;1;
286;J0613+3731;06:13:12.1;+37:31:38.3;0.619198;3.24e-15;*;*;*;
287;J0614+2229;06:14:17.0;+22:29:56.8;0.334960;5.94e-14;*;*;*;
