#;PSRJ;RAJ;DECJ;P0;P1;BINARY;PSR;NGLT;
;;(hms);(dms);(s);;(type);TYPE;;
1724;J1748-2446am;17:48:04.8;-24:46:47.2;0.002934;-1.37e-19;DD;*;*;
1725;J1748-2446an;17:48:05.6;-24:46:42.0;0.004802;1.56e-19;DD;*;*;
1726;J1748-2446C;17:48:04.5;-24:46:36;0.008436;-6.06e-19;*;*;*;
1727;J1748-2446D;17:48:04.8;-24:46:45;0.004714;*;*;*;*;
1728;J1748-2446E;17:48:04.8;-24:46:45;0.002198;*;BT;*;*;
1729;J1748-2446F;17:48:04.8;-24:46:45;0.005540;*;*;*;*;
1730;J1748-2446G;17:48:04.8;-24:46:45;0.021672;*;*;*;*;
1731;J1748-2446H;17:48:04.8;-24:46:45;0.004926;*;*;*;*;
1732;J1748-2446I;17:48:04.8;-24:46:45;0.009570;*;BT;*;*;
1733;J1748-2446J;17:48:04.8;-24:46:45;0.080338;*;BT;*;*;
1734;J1748-2446K;17:48:04.8;-24:46:45;0.002970;*;*;*;*;
1735;J1748-2446L;17:48:04.8;-24:46:45;0.002245;*;*;*;*;
1736;J1748-2446M;17:48:04.8;-24:46:45;0.003570;*;BT;*;*;
1737;J1748-2446N;17:48:04.8;-24:46:45;0.008667;*;BT;*;*;
1738;J1748-2446O;17:48:04.8;-24:46:45;0.001677;*;BT;*;*;
1739;J1748-2446P;17:48:04.8;-24:46:45;0.001729;*;BT;*;*;
1740;J1748-2446Q;17:48:04.8;-24:46:45;0.002812;*;BT;*;*;
1741;J1748-2446R;17:48:04.8;-24:46:45;0.005029;*;*;*;*;
1742;J1748-2446S;17:48:04.8;-24:46:45;0.006117;*;*;*;*;
1743;J1748-2446T;17:48:04.8;-24:46:45;0.007085;*;*;*;*;
1744;J1748-2446U;17:48:04.8;-24:46:45;0.003289;*;BT;*;*;
1745;J1748-2446V;17:48:04.8;-24:46:45;0.002073;*;BT;*;*;
1746;J1748-2446W;17:48:04.8;-24:46:45;0.004205;*;BT;*;*;
1747;J1748-2446X;17:48:04.8;-24:46:45;0.002999;*;BT;*;*;
1748;J1748-2446Y;17:48:04.8;-24:46:45;0.002048;*;BT;*;*;
1749;J1748-2446Z;17:48:04.8;-24:46:45;0.002463;*;BT;*;*;
1750;J1748-30;17:48;-30:17;0.382735;*;*;*;*;
1751;J1748-3009;17:48:23.7;-30:09:11.2;0.009684;-3.58e-20;BT;*;*;
1752;J1749+16;17:49:29;+16:24;2.311650;*;*;*;*;
1753;J1749-2146;17:49:21.2;-21:46:31;2.714556;7.08e-15;*;*;*;
1754;J1749-2347;17:49:15.6;-23:47:17;0.874486;2.42e-15;*;*;*;
1755;J1749-2629;17:49:11.2;-26:29:10;1.335388;1.72e-15;*;*;*;
1756;J1749-3002;17:49:13.4;-30:02:35;0.609874;7.87e-15;*;*;*;
1757;J1749-4931;17:49:23.7;-49:31:59;0.445822;5.90e-16;*;*;*;
1758;J1749-5417;17:49:47.0;-54:17:30.7;0.307577;1.50e-16;*;*;*;
1759;J1749-5605;17:49:44.5;-56:05:19;1.332310;2.12e-15;*;*;*;
1760;J1749+5952;17:49:33.2;+59:52:36.1;0.436041;1.52e-16;*;*;*;
1761;J1750+07;17:50:40;+07:33;1.908810;*;*;*;*;
1762;J1750-2043;17:50:18.4;-20:43:08;5.639047;7.95e-15;*;*;*;
1763;J1750-2438;17:50:59.7;-24:38:58;0.712794;1.08e-14;*;*;*;
1764;J1750-2444;17:50:22.9;-24:44:47;0.899377;2.64e-16;*;*;*;
1765;J1750-2536;17:50:33.3;-25:36:43;0.034749;*;BT;*;*;
1766;J1750-28;17:50:04.0;-28:45;1.300513;5.78e-15;*;*;*;
1767;J1750-3157;17:50:47.3;-31:57:44.1;0.910363;1.97e-16;*;*;*;
1768;J1750-3503;17:50:44.5;-35:03:08.9;0.684014;3.81e-17;*;*;*;
1769;J1750-3703A;17:50:13.8;-37:03:10.9;0.111601;5.66e-18;BT;*;*;
1770;J1750-3703B;17:50:12.1;-37:03:22.9;0.006075;1.92e-20;BT;*;*;
1771;J1750-3703C;17:50:13.4;-37:03:05.5;0.026569;-9.96e-19;*;*;*;
1772;J1750-3703D;17:50:13.0;-37:03:06.3;0.005140;4.93e-19;*;*;*;
1773;J1751-2516;17:51:52.6;-25:16:43;0.394836;2.64e-15;*;*;*;
1774;J1751-2737;17:51:12.6;-27:37:19.8;0.002230;*;*;*;*;
1775;J1751-2857;17:51:32.6;-28:57:46.5;0.003915;1.12e-20;DD;*;*;
1776;J1751-3323;17:51:32.7;-33:23:39.6;0.548227;8.83e-15;*;*;3;
1777;J1751-4657;17:51:42.1;-46:57:26.5;0.742354;1.30e-15;*;*;*;
1778;J1752+2359;17:52:35.4;+23:59:48.2;0.409051;6.43e-16;*;*;*;
1779;J1752-2410;17:52:58.7;-24:10:26;0.191037;6.18e-16;*;*;*;
1780;J1752-2806;17:52:58.6;-28:06:37.3;0.562558;8.13e-15;*;*;*;
1781;J1752-2821;17:52:24.5;-28:21:10;0.640229;3.47e-15;*;*;*;
1782;J1753-12;17:52:53;-12:59;0.405454;*;*;RRAT;*;
1783;J1753-1914;17:53:35.1;-19:14:58;0.062955;2.02e-18;*;*;*;
1784;J1753-2240;17:53:39.8;-22:40:42;0.095138;9.70e-19;BT;*;*;
1785;J1753-2501;17:53:30.6;-25:00:25;0.528336;1.41e-14;*;*;*;
1786;J1753-28;17:53:06;-28:53;0.085859;*;*;*;*;
1787;J1753-2819;17:53:56.1;-28:19:30.0;0.018624;-4.94e-20;BT;*;*;
1788;J1753-38;17:53;-38:49;0.666804;*;*;RRAT;*;
1789;J1754+0032;17:54:52;+00:36:33;0.004411;*;*;*;*;
1790;J1754-2422;17:54:36.5;-24:22:24;2.090248;8.30e-16;*;*;*;
1791;J1754-3014;17:54:30.1;-30:15:03;1.320490;4.43e-15;*;RRAT;*;
1792;J1754-3443;17:54:37.3;-34:43:53.9;0.361691;5.71e-16;*;*;*;
1793;J1754-3510;17:54:54.6;-35:10:43.0;0.392704;7.82e-16;*;*;*;
1794;J1754+5201;17:54:22.9;+52:01:12.2;2.391397;1.56e-15;*;*;*;
1795;J1755-0903;17:55:10.3;-09:03:51.6;0.190710;7.81e-16;*;*;*;
1796;J1755-1650;17:55:11.6;-16:50:41;0.733744;6.86e-16;*;*;*;
1797;J1755-2025;17:55:35.8;-20:25:00;0.322231;4.42e-15;*;*;*;
1798;J1755-2521;17:55:59.7;-25:21:27;1.175968;9.02e-14;*;*;*;
1799;J1755-25211;17:55:19.3;-25:21:09;1.004513;3.12e-14;*;*;*;
1800;J1755-2534;17:55:49.8;-25:34:39;0.233541;1.12e-14;*;*;*;
1801;J1755-2550;17:55:38.4;-25:50:22.0;0.315196;2.43e-15;DD;*;*;
1802;J1755-26;17:55:16.2;-26:00;0.430872;1.23e-14;*;*;*;
1803;J1755-2725;17:55:41.8;-27:25:45;0.261955;1.37e-17;*;*;*;
1804;J1755-33;17:55:12;-33:31;0.959466;*;*;*;*;
1805;J1755-3716;17:55:35.4;-37:16:10.7;0.012786;3.11e-20;ELL1;*;*;
1806;J1756+1822;17:56:17.5;+18:22:55.3;0.744001;5.13e-16;*;*;*;
1807;J1756-2225;17:56:25.5;-22:25:48;0.404980;5.27e-14;*;*;*;
1808;J1756-2251;17:56:46.6;-22:51:59.3;0.028462;1.02e-18;DD;*;*;
1809;J1756-2435;17:56:57.9;-24:35:34;0.670480;2.85e-16;*;*;*;
1810;J1756-25;17:56:42;-25:28;0.855986;*;*;*;*;
1811;J1756-2619;17:57:19.3;-26:19:08;0.724514;1.24e-15;*;*;*;
1812;J1757-1500;17:57:12.7;-15:00:28.5;0.179354;1.50e-15;*;*;*;
1813;J1757-16;17:57:25;-16:26;0.451273;*;*;*;*;
1814;J1757-1854;17:57:03.7;-18:54:03.3;0.021497;2.63e-18;DDH;*;*;
1815;J1757-2223;17:57:50.7;-22:23:49;0.185310;7.82e-16;*;*;*;
1816;J1757-2421;17:57:29.3;-24:22:07.4;0.234106;1.30e-14;*;HE[sbc+19];1;
1817;J1757-2745;17:57:54.7;-27:45:40.1;0.017687;-1.30e-20;*;*;*;
1818;J1757-5322;17:57:15.1;-53:22:26.3;0.008870;2.63e-20;ELL1;*;*;
1819;J1758-1931;17:58:05.6;-19:31:41;0.692552;1.69e-14;*;*;*;
1820;J1758-2206;17:58:44.4;-22:06:45;0.430278;9.56e-16;*;*;*;
1821;J1758-2540;17:58:31.9;-25:40:49;2.107263;1.55e-15;*;*;*;
1822;J1758-2630;17:58:34.2;-26:30:10;1.202893;5.17e-15;*;*;*;
1823;J1758-2846;17:58:15.4;-28:46:02;0.766706;9.41e-17;*;*;*;
1824;J1758+3030;17:58:25.8;+30:30:24.0;0.947256;7.20e-16;*;*;*;
1825;J1759-1029;17:59:34.3;-10:29:57;2.512263;1.57e-14;*;*;*;
1826;J1759-1736;17:59:28.1;-17:36:10;0.798452;2.55e-16;*;*;*;
1827;J1759-1903;17:59:41.7;-19:03:19;0.731505;3.07e-15;*;*;*;
1828;J1759-1940;17:59:57.0;-19:40:29;0.254720;9.34e-17;*;*;*;
1829;J1759-1956;17:59:35.4;-19:56:08;2.843389;1.86e-14;*;*;*;
1830;J1759-2205;17:59:24.1;-22:05:33;0.460982;1.09e-14;*;*;*;
1831;J1759-2302;17:59:49.2;-23:02:08;0.810718;1.07e-14;*;*;*;
1832;J1759-2307;17:59:30.9;-23:07:17;0.558889;3.76e-15;*;*;*;
1833;J1759-24;17:59:24;-24:02;1.457739;*;*;*;*;
1834;J1759-2549;17:59:35.1;-25:49:07;0.956549;9.96e-14;*;*;*;
1835;J1759-2922;17:59:48.2;-29:22:07;0.574400;4.63e-15;*;*;*;
1836;J1759-3107;17:59:22.0;-31:07:21.8;1.078955;3.77e-15;*;*;*;
1837;J1759+5036;17:59:45.6;+50:36:56.9;0.176016;2.43e-19;DD;*;*;
1838;J1759-5505;17:59:34.1;-55:05:30.9;0.373392;4.39e-16;*;*;*;
1839;J1800-0125;18:00:22.0;-01:25:30.6;0.783185;1.15e-14;*;*;*;
1840;J1800-2114;18:00:12.3;-21:14:19;1.799272;5.50e-16;*;*;*;
1841;J1800-2343;18:00;-23:43;1.030820;*;*;*;*;
1842;J1800+5034;18:00:44.3;+50:34:21.7;0.578375;1.17e-16;*;*;*;
1843;J1801-0357;18:01:22.6;-03:57:55.7;0.921493;3.31e-15;*;*;1;
1844;J1801-0857A;18:01:50.6;-08:57:31.8;0.007176;-5.10e-19;*;*;*;
1845;J1801-0857B;18:01:50.5;-08:57:32.8;0.028962;2.20e-18;BT;*;*;
1846;J1801-0857C;18:01:50.7;-08:57:32.6;0.003739;-6.39e-20;*;*;*;
1847;J1801-0857D;18:01:55.3;-08:57:24.2;0.004227;7.68e-21;*;*;*;
1848;J1801-0857E;18:01:50.6;-08:57:31.2;0.007602;-1.04e-18;*;*;*;
1849;J1801-0857F;18:01:50.7;-08:57:31.2;0.024892;-2.67e-18;*;*;*;
1850;J1801-0857G;18:01:50.0;-08:57:27.9;0.051591;7.99e-20;*;*;*;
1851;J1801-0857H;18:01:52.5;-08:57:53.1;0.005643;3.85e-19;*;*;*;
1852;J1801-0857I;18:01:50.5;-08:57:32;0.003250;*;*;BINARY[pqm+21];*;
1853;J1801-1417;18:01:51.0;-14:17:34.5;0.003625;5.30e-21;*;HE[fsk+04,aab+22];*;
1854;J1801-1855;18:01:22.3;-18:55:49;2.550498;1.82e-16;*;*;*;
1855;J1801-1909;18:01:46.6;-19:09:36;1.108725;7.03e-16;*;*;*;
1856;J1801-2115;18:01:32.4;-21:15:18;0.438113;1.55e-17;*;*;*;
1857;J1801-2154;18:01:08.6;-21:54:07.1;0.375302;1.60e-14;*;*;*;
1858;J1801-2304;18:01:19.8;-23:04:44.6;0.415827;1.13e-13;*;*;13;
1859;J1801-2451;18:01:00.0;-24:51:27.5;0.124924;1.28e-13;*;*;7;
1860;J1801-2920;18:01:46.8;-29:20:38.1;1.081910;3.29e-15;*;*;*;
1861;J1801-3210;18:01:25.8;-32:10:53.7;0.007454;7.22e-23;BT;*;*;
1862;J1801-3458;18:01:52.6;-34:58:37;1.385604;3.97e-16;*;*;*;
1863;J1802+0128;18:02:27.4;+01:28:23.7;0.554262;2.11e-15;*;*;*;
1864;J1802+03;18:02:44;+03:38;0.664300;*;*;*;*;
1865;J1802-0523;18:02:12.1;-05:23:29;1.680573;2.65e-15;*;*;*;
1866;J1802-1745;18:02:14.8;-17:45:17;0.514671;5.64e-16;*;*;*;
1867;J1802-2124;18:02:05.3;-21:24:03.6;0.012648;7.26e-20;ELL1;*;*;
1868;J1802-2426;18:02:03.1;-24:26:43;0.569007;8.56e-15;*;*;*;
1869;J1802-3346;18:02:55.2;-33:46:45;2.461052;1.32e-15;*;*;*;
1870;J1803+1358;18:03:11;+13:59:26;0.001520;*;*;NRAD[aab+22];*;
1871;J1803-1616;18:03:34.6;-16:16:30;0.536596;1.77e-15;*;*;*;
1872;J1803-1857;18:03:59.0;-18:57:19;2.864338;1.52e-14;*;*;*;
1873;J1803-1920;18:03:29.4;-19:20:41;0.443649;3.30e-16;*;*;*;
1874;J1803-2137;18:03:51.4;-21:37:07.3;0.133667;1.34e-13;*;HE;5;
1875;J1803-2149;18:03:09.6;-21:49:13;0.106332;1.95e-14;*;NRAD;*;
1876;J1803-2712;18:03:31.6;-27:12:06;0.334415;1.71e-17;BT;*;*;
1877;J1803-3002A;18:03:34.0;-30:02:02;0.007101;4.00e-20;*;*;*;
1878;J1803-3002B;18:03:34.0;-30:02:02;0.004397;*;*;*;*;
1879;J1803-3002C;18:03:34.0;-30:02:02;0.005840;*;*;*;*;
1880;J1803-3002D;18:03:34.0;-30:02:02;0.005530;*;*;*;*;
1881;J1803-3329;18:03:44.4;-33:29:10.7;0.633412;3.37e-16;*;*;*;
1882;J1804-0735;18:04:49.8;-07:35:24.6;0.023101;4.67e-19;BT;*;*;
1883;J1804-2228;18:04:28.1;-22:28:18;0.570511;1.43e-16;*;*;*;
1884;J1804-2717;18:04:21.1;-27:17:31.3;0.009343;4.09e-20;DD;*;*;
1885;J1804-28;18:04:48;-28:07;1.273011;*;*;*;*;
1886;J1804-2858;18:04:01.5;-28:58:46.6;0.001493;-7.57e-22;*;*;*;
1887;J1805+0306;18:05:10.1;+03:06:30.2;0.218712;9.99e-16;*;*;*;
1888;J1805+0615;18:05:42.3;+06:15:18.6;0.002129;2.28e-20;ELL1;HE[cck+16];*;
1889;J1805-0619;18:05:31.4;-06:19:45.4;0.454651;9.69e-16;*;*;*;
1890;J1805-1504;18:05:06.1;-15:04:36;1.181269;2.73e-16;*;*;*;
1891;J1805-2032;18:05:37.0;-20:32:51;0.405769;8.39e-15;*;*;*;
1892;J1805-2037;18:05:28.1;-20:37:16;0.357807;1.76e-15;*;*;*;
1893;J1805-2447;18:05:25.9;-24:47:30;0.661402;5.82e-18;*;*;*;
1894;J1805-2948;18:05:42.4;-29:48:00;0.428341;4.74e-16;*;*;*;
1895;J1806+1023;18:06:52.1;+10:23:18.3;0.484286;5.73e-17;*;*;*;
1896;J1806-1154;18:06:06.7;-11:54:28.7;0.522618;1.41e-15;*;*;*;
1897;J1806-1618;18:06:25.7;-16:18:38;0.668309;8.62e-16;*;*;*;
1898;J1806-1920;18:06:06.6;-19:20:23;0.879791;1.70e-17;*;*;*;
1899;J1806-2125;18:06:19.8;-21:27:55.5;0.481825;1.18e-13;*;*;1;
1900;J1806+2819;18:06:25.0;+28:19:01.1;0.015084;3.75e-20;ELL1;HE[kmk+18,aab+22];*;
1901;J1807+04;18:07:25;+04:05;0.798900;*;*;*;*;
1902;J1807+0756;18:07:51.2;+07:56:43.3;0.464300;1.29e-16;*;*;*;
1903;J1807-0847;18:07:38.0;-08:47:43.2;0.163727;2.88e-17;*;*;*;
1904;J1807-2459A;18:07:20.3;-24:59:52.9;0.003059;-4.34e-21;BT;*;*;
1905;J1807-2459B;18:07:20.8;-25:00:01.9;0.004186;8.23e-20;DD;*;*;
1906;J1807-2557;18:07:13.6;-25:57:20;2.764195;4.99e-15;*;RRAT;*;
1907;J1807-2715;18:07:08.4;-27:15:03.0;0.827776;1.22e-14;*;*;*;
1908;J1808+00;18:08:19;+00:34;0.425115;*;*;*;*;
1909;J1808-0813;18:08:09.4;-08:13:01.8;0.876044;1.24e-15;*;*;*;
1910;J1808-1020;18:08:45.6;-10:20:48.3;0.596993;7.72e-16;*;*;*;
1911;J1808-1517;18:08:39.0;-15:17:40;0.544549;2.67e-15;*;*;*;
1912;J1808-1726;18:08:42.3;-17:26:27;0.241035;1.16e-17;*;*;*;
1913;J1808-2024;18:08:39.3;-20:24:39.8;7.555920;5.49e-10;*;AXP,NRAD;*;
1914;J1808-2057;18:08:06.3;-20:58:08;0.918410;1.71e-14;*;*;*;
1915;J1808-2701;18:08:13.2;-27:01:21;2.457882;6.58e-14;*;*;*;
1916;J1808-3249;18:08:04.4;-32:49:34;0.364912;7.05e-15;*;*;*;
1917;J1809-0119;18:09:51.3;-01:19:29.0;0.744976;2.29e-15;*;*;2;
1918;J1809-0743;18:09:35.9;-07:43:01.4;0.313886;1.52e-16;*;*;*;
1919;J1809-1429;18:09:45.5;-14:29:25.0;0.895285;5.24e-15;*;*;*;
1920;J1809+17;18:09:06;+17:04;2.066700;*;*;*;*;
1921;J1809-1850;18:09:37.2;-18:50:55;1.124481;1.06e-14;*;*;*;
1922;J1809-1917;18:09:43.1;-19:17:38.1;0.082755;2.55e-14;*;*;1;
1923;J1809-1943;18:09:51.0;-19:43:51.9;5.540743;2.83e-12;*;AXP,HE;*;
1924;J1809-2004;18:09:15.8;-20:04:12;0.434811;7.28e-15;*;*;2;
1925;J1809-2109;18:09:14.3;-21:09:02.9;0.702414;3.82e-15;*;*;*;
1926;J1809-2332;18:09:50.2;-23:32:22.6;0.146789;3.44e-14;*;NRAD;*;
1927;J1809-3547;18:09:26.9;-35:47:18;0.860388;1.20e-16;*;*;*;
1928;J1810+0705;18:10:47.0;+07:05:36.3;0.307683;2.42e-16;*;*;*;
1929;J1810-1441;18:10:59.1;-14:41:33.6;0.217214;2.39e-17;*;*;*;
1930;J1810-1709;18:10:28.2;-17:09:27;1.161133;3.33e-16;*;*;*;
1931;J1810+1744;18:10:37.2;+17:44:37.3;0.001660;4.60e-21;BT;HE;*;
1932;J1810-1820;18:10:55.5;-18:20:39;0.153716;5.22e-17;*;*;*;
1933;J1810-2005;18:10:58.9;-20:05:08.2;0.032822;1.47e-19;ELL1;*;*;
1934;J1810-5338;18:10:44.4;-53:38:07.6;0.261050;3.86e-16;*;*;*;
1935;J1811-0154;18:11:19.8;-01:54:30.9;0.924945;1.61e-15;*;*;*;
1936;J1811-0624;18:11:18.0;-06:24:37.4;0.004146;4.81e-21;ELL1;*;*;
1937;J1811+0702;18:11:20.4;+07:02:29.7;0.461713;2.69e-15;*;*;*;
1938;J1811-1049;18:11:17.0;-10:49:03;2.623859;8.00e-16;*;*;*;
1939;J1811-1717;18:11:26.5;-17:17:47;0.391385;1.20e-16;*;*;*;
1940;J1811-1736;18:11:55.0;-17:36:37.7;0.104182;9.01e-19;BT;*;*;
1941;J1811-1835;18:11:29.7;-18:35:44;0.557464;6.31e-15;*;*;*;
1942;J1811-1925;18:11:29.2;-19:25:28;0.064667;4.40e-14;*;NRAD;*;
1943;J1811-2405;18:11:19.8;-24:05:18.4;0.002661;1.38e-20;ELL1H;*;*;
1944;J1811-2439;18:11:55.5;-24:39:53;0.415813;2.97e-16;*;*;*;
1945;J1811-4930;18:11:27.1;-49:30:20.8;1.432704;2.25e-15;*;*;*;
1946;J1812+0226;18:12:53.1;+02:26:57.1;0.793903;3.60e-15;*;*;*;
1947;J1812-15;18:12:36;-15:31;1.014529;*;*;BINARY[ccb+20];*;
1948;J1812-1718;18:12:07.2;-17:18:29.5;1.205374;1.91e-14;*;*;3;
1949;J1812-1733;18:12:15.8;-17:33:37.8;0.538341;9.82e-16;*;*;*;
1950;J1812-1910;18:12:34.8;-19:10:39;0.430991;3.77e-14;*;*;*;
1951;J1812-20;18:12:36.5;-20:58.1;1.903112;2.40e-16;*;*;*;
1952;J1812-2102;18:12:20.9;-21:02:36;1.223352;2.39e-14;*;*;*;
1953;J1812-2526;18:12:32.3;-25:26:38;0.315835;1.77e-16;*;*;*;
1954;J1812-2748;18:12:40.5;-27:48:03;0.236983;3.16e-16;*;*;*;
1955;J1812-3039;18:12:44.9;-30:39:21;0.587477;6.60e-16;*;*;*;
1956;J1813-0402;18:13:34.9;-04:02:47.8;0.004107;6.94e-21;ELL1;*;*;
1957;J1813-1246;18:13:23.7;-12:45:59.2;0.048072;1.76e-14;*;NRAD;1;
1958;J1813-1749;18:13:35.1;-17:49:57.5;0.044741;1.27e-13;*;HE[crhr21];*;
1959;J1813+1822;18:13:38.7;+18:22:15.0;0.336425;2.10e-17;*;*;*;
1960;J1813-2113;18:13:39.8;-21:13:00.4;0.426466;2.08e-15;*;*;*;
1961;J1813-2242;18:13:29.1;-22:42:06;0.328514;4.78e-17;*;*;*;
1962;J1813-2621;18:13:40.5;-26:21:57.0;0.004430;1.25e-20;ELL1;*;*;
1963;J1813+4013;18:13:13.2;+40:13:39.0;0.931089;2.55e-15;*;*;*;
1964;J1814-0521;18:14:26.1;-05:21:37.0;1.014219;8.84e-16;*;*;*;
1965;J1814-0618;18:14:41.2;-06:18:01.7;1.377868;2.92e-16;*;*;*;
1966;J1814+1130;18:14:42.7;+11:30:43.9;0.751261;1.66e-15;*;*;*;
1967;J1814-1649;18:14:37.3;-16:49:28;0.957464;6.33e-15;*;*;*;
1968;J1814-1744;18:14:43.1;-17:44:48;3.975905;7.45e-13;*;*;6;
1969;J1814+22;18:14:36;+22:23;0.253700;*;*;*;*;
1970;J1814+31;18:14:31;+31:30:01;0.002090;*;*;NRAD[aab+22];*;
1971;J1815-1738;18:15:14.6;-17:38:06.8;0.198457;7.78e-14;*;*;*;
1972;J1815-1910;18:15:03.0;-19:10:00.4;1.249924;3.63e-14;*;*;*;
1973;J1815+5546;18:15:05.7;+55:46:23.3;0.426844;9.47e-17;*;*;*;
1974;J1816-0755;18:16:24.5;-07:55:22.5;0.217643;6.48e-15;*;HE[sbc+19];*;
1975;J1816-1446;18:16:29.1;-14:46:30;0.594500;1.33e-15;*;*;*;
1976;J1816-1729;18:16:18.6;-17:29:02.7;0.782313;7.26e-15;*;*;*;
1977;J1816-2650;18:16:35.3;-26:49:53;0.592885;6.65e-17;*;*;*;
1978;J1816+4510;18:16:35.9;+45:10:33.8;0.003193;4.31e-20;ELL1;HE[ksr+12];*;
1979;J1816-5643;18:16:36.4;-56:43:42.1;0.217923;1.93e-18;*;*;*;
1980;J1817-0743;18:17:49.7;-07:43:18.9;0.438095;-2.30e-18;*;*;*;
1981;J1817-1511;18:17:36.2;-15:11:39;0.224604;1.43e-15;*;*;*;
1982;J1817-1742;18:17:09.0;-17:42:01.1;0.149744;2.06e-14;*;NRAD;*;
1983;J1817-1938;18:17:06.8;-19:38:36;2.046838;3.60e-16;*;*;*;
1984;J1817-2311;18:17;-23:11;0.625470;*;*;*;*;
1985;J1817-3618;18:17:05.8;-36:18:04.6;0.387019;2.02e-15;*;*;*;
1986;J1817-3837;18:17:00.2;-38:37:59.7;0.384487;5.80e-16;*;*;*;
1987;J1818-0151;18:18:25.7;-01:51:54.0;0.837535;9.11e-15;*;*;*;
1988;J1818-1116;18:18:26.4;-11:16:29;0.544800;3.82e-15;*;*;*;
1989;J1818-1422;18:18:23.7;-14:22:36.7;0.291489;2.04e-15;*;*;1;
1990;J1818-1448;18:18:27.9;-14:48:38;0.281371;6.15e-15;*;*;*;
1991;J1818-1519;18:18:14.6;-15:19:43;0.939690;4.11e-15;*;*;*;
1992;J1818-1541;18:18:37.5;-15:41:45;0.551134;9.68e-15;*;*;*;
1993;J1818-1556;18:18:51.9;-15:56:04;0.952709;7.06e-16;*;*;*;
1994;J1818-1607;18:18:00.1;-16:07:53.0;1.363492;4.18e-11;*;AXP[esy+20],HE[kdk+20];*;
1995;J1819-0925;18:19:50.5;-09:25:49.9;0.852047;3.13e-15;*;*;*;
1996;J1819-1008;18:19:39.9;-10:08:28;0.301490;1.32e-15;*;*;*;
1997;J1819-1114;18:19:28.7;-11:14:43;0.294163;5.66e-16;*;*;*;
1998;J1819-1131;18:19:58.1;-11:31:29;1.388137;7.61e-16;*;*;*;
1999;J1819+1305;18:19:56.2;+13:05:15.2;1.060364;3.59e-16;*;*;*;
2000;J1819-1318;18:19:43.6;-13:18:42;1.515696;5.97e-16;*;*;*;
2001;J1819-1408;18:19:56.8;-14:08:01.6;1.788490;2.59e-15;*;*;*;
2002;J1819-1458;18:19:34.1;-14:58:00.0;4.263213;5.63e-13;*;RRAT,HE;2;
2003;J1819-1510;18:19:53.6;-15:10:20.6;0.226539;7.85e-18;*;*;*;
2004;J1819-17;18:19:30;-17:05;2.352135;*;*;*;*;
2005;J1819-1717;18:19:43.4;-17:17:16;0.393522;3.45e-15;*;*;*;
2006;J1819-37;18:19;-37;0.632000;*;*;*;*;
2007;J1820-0427;18:20:52.5;-04:27:37.7;0.598082;6.33e-15;*;*;*;
2008;J1820-0509;18:20:22.7;-05:09:38.5;0.337321;9.32e-16;*;*;*;
2009;J1820-1346;18:20:19.7;-13:46:15.3;0.921460;4.50e-15;*;*;*;
2010;J1820-1529;18:20:41.3;-15:29:42.2;0.333254;3.79e-14;*;*;*;
2011;J1820-1818;18:20:39.0;-18:18:03.3;0.309905;9.36e-17;*;*;*;
2012;J1821+0155;18:21:38.8;+01:55:21.9;0.033781;2.90e-20;*;*;*;
2013;J1821-0256;18:21:10.3;-02:56:38.6;0.414111;3.72e-17;*;*;*;
2014;J1821-0331;18:21:44.7;-03:31:12.7;0.902316;2.53e-15;*;*;*;
2015;J1821-1419;18:21:34.3;-14:19:26;1.656010;8.95e-13;*;*;*;
2016;J1821-1432;18:21:39.7;-14:32:53.2;1.915131;5.37e-15;*;*;*;
2017;J1821+1715;18:21:13.5;+17:15:47.0;1.366682;8.71e-16;*;*;*;
2018;J1821+4147;18:21:52.3;+41:47:02.5;1.261857;1.73e-15;*;*;*;
2019;J1822+02;18:22;+02;1.508000;*;*;*;*;
2020;J1822+0705;18:22:18.4;+07:05:19.0;1.362817;1.75e-15;*;*;*;
2021;J1822-0719;18:22:28.0;-07:19:55.0;0.499076;1.90e-17;*;*;*;
2022;J1822-0848;18:22:51.8;-08:48:59.0;0.834839;1.35e-16;BT;*;*;
2023;J1822-0902;18:22:35.7;-09:02:59.1;0.148895;1.78e-14;*;*;*;
2024;J1822-0907;18:22:39.8;-09:07:36;0.974700;3.55e-16;*;*;*;
2025;J1822+1120;18:22:14.6;+11:20:56.2;1.787037;2.35e-15;*;*;*;
2026;J1822-1252;18:22:41.7;-12:52:49;2.071040;8.48e-14;*;*;*;
2027;J1822-1400;18:22:54.0;-14:00:02.4;0.214771;9.07e-16;*;*;*;
2028;J1822-1604;18:22:18.0;-16:04:26.8;8.437721;2.14e-14;*;AXP,NRAD;1;
2029;J1822-1617;18:22:36.6;-16:17:35;0.831156;1.89e-15;*;*;*;
2030;J1822-2256;18:22:58.9;-22:56:31;1.874269;1.35e-15;*;*;*;
2031;J1822+2617;18:22:44.8;+26:17:26.8;0.591418;7.98e-16;*;*;*;
2032;J1822-4209;18:22:11.3;-42:09:10.9;0.456512;4.59e-16;*;*;*;
2033;J1823-0154;18:23:52.1;-01:54:04.6;0.759777;1.13e-15;*;*;*;
2034;J1823+0550;18:23:30.9;+05:50:24.3;0.752907;2.27e-16;*;*;*;
2035;J1823-1115;18:23:40.3;-11:15:11;0.279829;1.38e-15;BT;*;*;
